,region,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
0,Uusimaa,23854,29616,33887,39009,42639,46093,48652,52616,56387,59608,61848,66503,70320,74231,77330,83119,89598,97669,106056,113742,121352,131101,141965,152458,162824,172143,183459,193255,202957,214768,225350,237791,257833,283570
1,Varsinais-Suomi,5376,6290,7117,7835,8371,9006,9644,10415,11592,12439,13135,14276,15062,15646,16158,16846,17744,18720,19810,20733,21978,23203,24708,26082,27547,28690,30092,31544,32898,34140,35892,37824,40651,46616
2,Satakunta,1924,2294,2480,2552,2589,2673,2669,2698,2864,2930,2978,3111,3207,3230,3344,3450,3562,3768,4089,4505,4860,5204,5717,6225,6641,6995,7630,8081,8405,8640,9172,9705,10173,11633
3,Kanta-Häme,1345,1707,1888,2139,2206,2302,2356,2412,2481,2549,2600,2737,2779,2791,2947,3134,3438,3738,4050,4240,4524,4901,5481,5960,6361,6638,6962,7199,7213,7359,7606,7820,8281,9633
4,Pirkanmaa,4225,4831,5267,5859,6247,6837,7242,7840,8351,8794,9277,9986,10581,11117,11939,12728,13532,14602,15709,16525,17580,18706,19650,20878,21779,22579,23846,24636,25469,26545,27123,28645,31681,36175
5,Päijät-Häme,1984,2524,2754,3021,3187,3408,3634,3954,4224,4455,4717,4920,5141,5274,5526,5761,6020,6338,6750,7200,7581,8005,8501,8828,9106,9411,10127,10577,10971,11272,11557,11965,12681,14242
6,Kymenlaakso,1433,1800,2002,2170,2244,2375,2453,2635,2862,3024,3246,3586,3818,4133,4524,4787,5068,5585,6240,6866,7409,7970,8612,9128,9521,9754,10243,10022,9917,9824,9877,9874,10035,11229
7,Etelä-Karjala,1118,1419,1556,1644,1785,1939,2109,2380,2601,2784,3057,3305,3399,3540,3741,3899,4030,4321,4692,4989,5329,5739,6195,6573,6937,7206,7559,7731,7835,8000,8144,8418,9069,10305
8,Etelä-Savo,894,1305,1459,1654,1725,1856,1902,1959,1959,2007,2111,2212,2208,2257,2385,2552,2740,2885,3012,3141,3279,3454,3701,3880,4060,4312,4601,4588,4637,4682,4713,4771,5162,6328
9,Pohjois-Savo,1537,1979,2262,2535,2623,2658,2769,2866,2971,3052,3012,3108,3162,3251,3367,3517,3744,4026,4345,4620,4903,5377,5885,6265,6725,7017,7458,7691,7910,8028,8332,8816,9476,11372
10,Pohjois-Karjala,1112,1458,1667,1894,1950,2044,2147,2159,2256,2329,2461,2658,2769,2843,3045,3253,3435,3641,3904,4210,4497,4810,5121,5501,5782,5828,6155,6272,6253,6451,6652,7174,7954,9356
11,Keski-Suomi,2601,2970,3323,3591,3738,3856,4019,4316,4428,4658,4829,5093,5250,5465,5693,5868,6093,6447,6867,7171,7453,7821,8219,8568,8921,9280,9931,10227,10358,10697,10995,11399,12094,14091
12,Etelä-Pohjanmaa,1914,2117,2220,2283,2272,2224,2236,2191,2211,2208,2214,2236,2311,2385,2496,2552,2650,2911,3155,3454,3762,4106,4455,4814,5010,5010,5097,5164,5302,5486,5700,5949,6438,8125
13,Pohjanmaa,3803,4086,4310,4548,4680,4819,4919,5095,5243,5350,5466,5758,5955,6179,6482,6952,7437,8000,8815,9437,10023,10864,11401,12015,12603,13193,13535,14090,14494,14825,15192,15798,16789,19083
14,Keski-Pohjanmaa,918,1024,1060,1127,1166,1162,1178,1167,1170,1175,1205,1217,1193,1216,1245,1313,1356,1497,1664,1705,1823,1951,2055,2161,2238,2423,2552,2576,2558,2626,2717,2837,2994,3407
15,Pohjois-Pohjanmaa,4650,5059,5374,5630,5774,5838,5873,5990,6130,6313,6637,6939,7156,7325,7638,7993,8295,8623,9029,9597,10085,10679,11129,11770,12313,12801,13760,14282,14739,15377,15749,16756,17960,20516
16,Kainuu,661,687,741,797,809,802,834,862,858,933,984,994,1086,1139,1375,1474,1446,1576,1678,1776,1878,1935,1981,2056,2096,2129,2227,2265,2221,2283,2422,2740,3048,3786
17,Lappi,4055,4315,4539,4706,4757,4734,4780,4718,4594,4582,4443,4428,4413,4445,4560,4664,4810,5041,5380,5692,6034,6304,6524,6801,7011,7111,7402,7520,7701,7679,7815,8031,8479,9721
18,Ahvenanmaa,1518,1607,1674,1647,1653,1677,1715,1797,1868,1930,1983,2068,2247,2400,2566,2750,2912,3140,3381,3580,3785,4018,4171,4316,4502,4642,4905,5082,5377,5497,5758,5977,6059,6263
