Etelä-Karjala,Etelä-Pohjanmaa,Etelä-Savo,Kainuu,Kanta-Häme,Keski-Pohjanmaa,Keski-Suomi,Kymenlaakso,Lappi,Pirkanmaa,Pohjanmaa,Pohjois-Karjala,Pohjois-Pohjanmaa,Pohjois-Savo,Päijät-Häme,Satakunta,Uusimaa,Varsinais-Suomi,Year
153,65,307,96,142,10,,293,256,541,110,247,241,472,265,357,3397,229,1997
163,85,321,89,108,25,195,384,253,504,128,231,261,182,165,324,2719,234,1998
181,88,327,93,139,34,213,233,287,483,97,303,267,225,186,349,3415,239,1999
162,82,343,35,146,38,206,226,288,500,119,326,259,237,185,301,3179,287,2000
173,104,323,49,140,39,233,259,353,461,117,340,273,216,272,256,2856,343,2001
154,115,299,52,169,37,257,236,321,457,96,209,317,165,304,236,2726,384,2002
141,138,293,48,138,51,250,211,389,460,86,269,383,135,345,244,2860,325,2003
145,148,288,45,132,50,234,237,356,504,109,234,339,160,284,226,2953,387,2004
131,142,337,55,181,30,338,221,363,542,99,250,333,146,243,221,3125,376,2005
153,172,307,52,136,18,351,200,375,558,142,201,382,141,349,215,2841,375,2006
190,135,290,59,122,36,265,201,349,572,144,242,378,133,291,210,2747,404,2007
166,115,277,63,87,41,242,199,369,661,160,223,401,184,248,200,2813,409,2008
162,130,224,68,91,28,146,155,315,582,163,195,276,186,396,157,2615,384,2009
155,118,247,69,91,28,116,170,264,532,159,236,273,193,219,125,2374,297,2010
188,228,267,58,89,18,134,157,224,521,178,198,261,143,230,146,2087,400,2011
195,142,246,56,96,19,140,164,259,462,167,228,260,159,227,150,2013,371,2012
205,108,257,74,93,24,141,120,396,421,164,171,245,139,259,165,1862,349,2013
160,106,226,101,93,23,113,110,386,445,157,130,232,152,264,166,1852,295,2014
138,81,223,100,184,22,164,130,286,377,163,169,234,167,209,126,1634,363,2015
98,102,209,79,67,21,141,116,262,363,129,165,157,180,161,113,1777,322,2016
85,97,220,83,72,28,122,140,177,346,172,121,107,208,142,111,1566,340,2017
102,128,266,70,52,31,176,111,172,192,216,95,106,193,135,119,1509,297,2018
89,108,287,18,105,30,154,149,148,338,152,108,101,179,131,109,1369,161,2019
3,107,378,67,111,15,129,123,104,341,140,88,112,176,140,100,1199,455,2020
1,105,105,73,53,23,136,108,147,382,155,87,121,178,142,97,1433,312,2021
4,106,241,102,59,27,156,90,154,330,126,92,81,180,44,94,1464,349,2022
4,53,112,90,62,39,0,121,26,92,153,145,32,120,176,97,1048,259,2023
