,KOKO MAA,Uusimaa,Varsinais-Suomi,Satakunta,Kanta-Häme,Pirkanmaa,Päijät-Häme,Kymenlaakso,Etelä-Karjala,Etelä-Savo,Pohjois-Savo,Pohjois-Karjala,Keski-Suomi,Etelä-Pohjanmaa,Pohjanmaa,Keski-Pohjanmaa,Pohjois-Pohjanmaa,Kainuu,Lappi,Ahvenanmaa,year
0,10,0,0,1,0,0,0,0,4,1,0,0,1,0,2,0,0,0,1,0,1980
1,15,2,0,1,0,0,1,0,0,0,1,2,1,2,0,2,0,0,0,3,1981
2,14,2,0,2,0,0,0,0,2,0,0,2,1,3,0,0,2,0,0,0,1982
3,25,4,0,4,0,0,0,2,0,0,1,1,0,2,2,4,3,0,2,0,1983
4,51,6,1,12,0,0,2,0,2,0,2,3,5,2,1,1,7,0,0,7,1984
5,36,1,3,9,2,0,0,8,0,0,0,1,2,0,2,0,1,0,7,0,1985
6,38,3,12,5,0,1,7,0,1,0,0,0,0,0,1,0,5,1,2,0,1986
7,54,22,3,4,7,3,0,4,1,0,0,0,3,3,0,0,1,3,0,0,1987
8,28,5,0,5,2,1,0,1,1,0,0,0,1,0,1,0,0,1,10,0,1988
9,34,5,4,2,1,6,0,0,0,1,0,2,0,2,3,0,7,0,1,0,1989
10,62,24,4,1,1,2,2,0,6,2,1,4,5,5,1,0,0,0,4,0,1990
11,71,15,5,8,2,2,1,0,0,3,6,2,2,2,1,0,6,1,15,0,1991
12,87,51,2,10,0,1,2,4,1,2,1,1,6,1,1,0,3,1,0,0,1992
13,89,27,8,3,1,8,5,8,3,1,2,10,4,2,4,0,2,0,1,0,1993
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1994
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1995
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1996
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1997
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1998
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000
21,1921,473,250,139,92,135,91,55,28,35,92,38,79,96,117,24,93,15,66,3,2001
22,7317,2387,765,621,193,476,242,286,192,172,317,104,344,203,251,79,366,75,201,41,2002
23,9205,3339,878,477,271,834,269,422,252,96,415,119,334,263,242,97,556,93,211,36,2003
24,9308,3303,907,706,233,793,331,417,306,84,348,155,303,297,232,152,485,51,167,37,2004
25,9348,3079,982,663,301,714,346,515,240,180,437,205,342,232,225,135,382,30,312,24,2005
26,8555,3070,845,594,276,704,267,385,242,187,287,196,214,265,263,102,282,57,265,53,2006
27,10399,4053,1064,597,329,1076,311,341,209,205,316,203,215,271,229,110,441,30,314,78,2007
28,9920,3690,1105,595,312,972,319,273,265,186,229,179,326,238,269,93,429,42,330,64,2008
29,11257,4154,1199,713,321,1102,367,362,221,227,256,247,336,295,278,76,586,59,360,91,2009
30,12150,3960,1281,585,383,1206,775,430,290,264,306,311,391,305,259,156,659,74,452,52,2010
31,12082,4114,1407,483,318,1130,380,388,355,253,378,301,501,374,299,118,715,123,375,62,2011
32,11288,3612,1402,424,245,1066,326,412,326,243,387,293,461,265,260,190,829,99,403,41,2012
33,12768,4335,1440,494,262,1028,435,422,287,216,375,262,418,403,384,123,1117,100,615,44,2013
34,13667,4800,1178,512,365,1304,568,501,237,230,410,267,432,369,400,155,1115,108,656,56,2014
35,15154,5164,1662,513,452,1522,643,555,258,262,473,205,736,473,490,124,793,121,638,67,2015
36,15692,5682,1715,540,475,1655,540,462,219,252,565,259,644,510,433,224,752,57,580,126,2016
37,17069,6098,1542,681,645,1775,645,355,324,273,675,286,796,659,496,181,855,57,561,154,2017
38,19284,6381,1775,746,867,1909,622,491,320,326,893,350,926,778,727,229,1103,135,591,112,2018
39,21074,6780,2118,716,873,1874,740,678,310,351,932,354,969,823,763,310,1337,155,833,153,2019
40,23785,7986,2066,1025,898,2203,810,975,388,349,993,433,1098,771,704,286,1390,225,1095,80,2020
41,19295,6248,1736,774,741,1668,745,930,429,355,792,334,844,508,540,328,1292,179,776,71,2021
42,17213,5690,1502,596,625,1596,747,613,236,287,743,220,768,530,548,324,1150,188,749,92,2022
43,18578,6149,1453,688,682,1809,725,667,227,243,727,275,837,579,579,264,1536,221,841,71,2023
